CRO_107204	ASCC3_MOUSE	48.90	2047	811	26	910	6639	228	2176	0.0	 1900
CRO_107207	F3PH_PETHY	70.08	518	144	3	16	1569	4	510	0.0	  668
CRO_107209	LEO1_DANRE	32.84	201	126	5	835	1428	353	547	2e-24	  112
CRO_107216	ASTER_ARATH	69.52	105	28	1	31	333	2	106	3e-45	  148
CRO_107220	EXPA9_ARATH	64.44	225	77	2	85	750	32	256	9e-90	  273
CRO_107221	DGK1_ARATH	72.24	760	174	9	461	2725	1	728	0.0	 1113
CRO_107225	PSKR1_DAUCA	55.49	665	287	7	31	2025	1	656	0.0	  644
CRO_107228	PIRL7_ORYSJ	49.05	263	98	5	123	842	1	250	2e-78	  246
CRO_107223	UGDH1_SOYBN	91.25	480	42	0	1	1440	1	480	0.0	  911
CRO_107226	DHX16_PIG	59.36	849	271	14	727	3249	258	1040	0.0	  949
CRO_107232	CCL11_ARATH	69.01	342	104	1	358	1377	1	342	6e-157	  465
CRO_107244	SNP33_ARATH	65.13	304	100	3	1	906	1	300	8e-116	  347
CRO_107249	UNE10_ARATH	52.71	129	58	2	459	845	150	275	5e-25	  108
CRO_107245	HPSE1_ARATH	56.27	574	191	8	496	2205	25	542	0.0	  642
CRO_107247	ZRAB3_MOUSE	42.53	174	86	5	822	1325	29	194	2e-30	  134
CRO_107247	ZRAB3_MOUSE	36.09	169	102	3	3183	3680	888	1053	7e-26	  119
CRO_107253	GSXL9_ARATH	69.31	466	114	3	115	1491	13	456	0.0	  670
CRO_107259	TKI1_ARATH	50.33	757	302	17	118	2361	45	736	0.0	  622
CRO_107266	RPK1_IPONI	49.93	737	337	12	541	2709	378	1096	0.0	  581
CRO_107266	RPK1_IPONI	41.40	442	231	4	349	1593	3	443	7e-79	  283
CRO_107268	E70B1_ARATH	26.45	397	258	10	2700	1534	246	616	3e-30	  131
CRO_107271	Y1743_ARATH	63.32	1066	382	6	22	3204	29	1090	0.0	 1266
CRO_107269	E70B1_ARATH	26.45	397	258	10	391	1557	246	616	2e-31	  131
CRO_107274	Y5161_ARATH	51.32	152	71	1	133	588	22	170	2e-38	  137
CRO_107278	GBP2_HUMAN	31.72	372	222	12	180	1232	6	366	1e-45	  179
CRO_107282	Y1461_ARATH	66.57	353	118	0	301	1359	78	430	2e-178	  535
CRO_107283	FH20_ARATH	63.85	603	189	8	492	2240	1	594	0.0	  692
CRO_107283	FH20_ARATH	76.24	404	96	0	3576	4787	1241	1644	4e-168	  563
CRO_107286	KIN10_ARATH	68.18	506	127	6	103	1530	31	532	0.0	  698
CRO_107287	Y5613_ARATH	64.09	788	255	7	1827	4124	28	809	0.0	  930
CRO_107293	VTI13_ARATH	73.18	220	59	0	239	898	1	220	3e-107	  321
CRO_107291	GT3_ARATH	73.55	465	108	4	1	1374	1	457	0.0	  731
CRO_107294	APRR1_ARATH	49.20	628	205	14	524	2125	8	615	4e-152	  467
CRO_107295	NEN1_ARATH	56.26	503	173	8	144	1643	5	463	8e-175	  512
CRO_107296	PP449_ARATH	39.23	492	283	6	64	1530	18	496	7e-111	  349
CRO_107297	GH317_ARATH	48.56	624	286	8	16	1857	4	602	0.0	  596
CRO_107299	HPPD_PLESU	56.50	377	104	8	67	1023	16	390	2e-118	  356
CRO_107300	APC5_ARATH	55.90	916	326	10	55	2574	1	914	0.0	  797
CRO_107298	PP440_ARATH	45.18	602	315	2	130	1926	49	638	3e-176	  524
CRO_107298	PP440_ARATH	28.84	371	261	1	376	1479	271	641	8e-49	  185
CRO_110434	NOG1_ENCCU	33.06	245	156	2	490	1224	56	292	3e-32	  133
